Created at,Description,Followers Count,Friends Count,Location,Profile Image Url,Statuses Count,User ID,User Name,text
Fri Oct 14 20:57:36 +0000 2022,"Transforming financial markets through innovative strategies & concepts | not financial advice, information & education only | BBA Finance, TCU",702.0,279.0,US,http://pbs.twimg.com/profile_images/1509997477235208216/T36qNgAx_normal.jpg,1301.0,1.5810264577021747e+18,Kelly Horak | Dovewood Capital LLC,"Attached is the upcoming week’s S&amp;P 500 forecast. This week we were off by 87 BPS. -0.68%F vs -1.55%A
#trading… https://t.co/sMt95kUoQw"
Fri Oct 14 20:57:17 +0000 2022,#industrialHemp . I tweet random shit. Fukin unFollow if you can't Handel Da #Truth... 11B-P,172.0,328.0,West Oahu,http://pbs.twimg.com/profile_images/707986049562243072/zKQFM_Px_normal.jpg,12537.0,1.5810263808121446e+18,BIG Q DOG ✊🏾,"RT @TopTradingEdge: Heat map of the Market .. $tsla down 7.6% msft down 2.4% , $aapl down 3.2% $amzn down 5% https://t.co/Lb15ldglv4"
Fri Oct 14 20:57:17 +0000 2022,,7.0,77.0,,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,499.0,1.5810263778429788e+18,Tony Kha,@biancoresearch I was thinking aapl but what do I know lol
Fri Oct 14 20:56:57 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810262938562314e+18,skitontop,"Best stock trade Group out there! 
Free chatroom link below!

https://t.co/MmIMKJhlRN

$AMZN $AMD $SPY $QQQ $ATH… https://t.co/KTBalNNlOJ"
Fri Oct 14 20:56:03 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810260668814582e+18,skitontop,"*Make as much as you want, i've made 35K+ last week. Best room on the net  
https://t.co/MmIMKJhlRN

$AAPL $TSLA… https://t.co/xtkJmXlSkL"
Fri Oct 14 20:55:47 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810260008086118e+18,skitontop,"$AMZN GREAT WEEK. LOOKING FORWARD TO NEXT WEEK. 
https://t.co/MmIMKJhlRN

$SPY $NDX $IWM $QQQ $BTC $ETH $AAPL $TSLA https://t.co/B3YuUWs3Ee"
Fri Oct 14 20:55:18 +0000 2022,CMT Candidate (L2) | Be Kind & Question Everything,1677.0,839.0,"Greenville, SC",http://pbs.twimg.com/profile_images/1520487005943128068/aoMVXrSD_normal.jpg,5921.0,1.5810258790060196e+18,"Larry Thompson, CPA",$AAPL vs. $JPM - Welp....... https://t.co/s1YolGBufC
Fri Oct 14 20:54:57 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810257926029722e+18,skitontop,I've  made 36k  with them . If you really want to make a huge profit on trading .... Choose this professional chat:… https://t.co/vwSvJl0J15
Fri Oct 14 20:54:38 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810257131254948e+18,skitontop,"Look like legit traders include this chat and making profits. FREE Check out now... https://t.co/MmIMKJhlRN

$UVXY… https://t.co/px4hhCmmZl"
Fri Oct 14 20:53:50 +0000 2022,"Transforming financial markets through innovative strategies & concepts | not financial advice, information & education only | BBA Finance, TCU",702.0,279.0,US,http://pbs.twimg.com/profile_images/1509997477235208216/T36qNgAx_normal.jpg,1301.0,1.5810255111906918e+18,Kelly Horak | Dovewood Capital LLC,"2022 S&amp;P 500 Drawdowns Detail - 10/14/22
#trading  #stockstowatch  #Investment #StockMarket #investing $SPY $TWLO… https://t.co/z9B7XMRvzK"
Fri Oct 14 20:53:49 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810255047566664e+18,skitontop,"80k+ members
Do join=&gt;https://t.co/MmIMKJhlRN
 one of the largest stocks and options trading communities with real… https://t.co/2z8Hva8jyn"
Fri Oct 14 20:53:32 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.58102543626786e+18,skitontop,"$TSLA $TAOP $JFK $CEMI $SPY $QQQ $SHOP $AMZN $NVDA $ROKU $EBAY $AMD $BB $DAL $DOW $KODK $AAPL 
Over 75k+ people. Jo… https://t.co/HdEm8FX7Cj"
Fri Oct 14 20:52:53 +0000 2022,,91.0,394.0,,http://pbs.twimg.com/profile_images/1549173302492536832/9DqysjzV_normal.jpg,2288.0,1.581025272190886e+18,KnowWhenToFoldEm,RT @ProblemSniper: Pin this if you want to. $META $AMZN $TSLA $AAPL $SPY $QQQ https://t.co/Y9hnxlSYpu
Fri Oct 14 20:52:39 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810252138602824e+18,skitontop,$BBD $DAL $XLRE $CSCO $RF $T $AAPL $SAVE  $ET $GLD $IVR $IAU $INTC $GOLD $PBR $TWTR $KEY $HYG $AUY $SPY $PCG $CZR… https://t.co/8SbEaI9eBj
Fri Oct 14 20:52:18 +0000 2022,®️ Travel nurse and current nurse practitioner student 👨‍⚕️ 440 Ohio💰#Dividend investor 📈 Ready to learn how to dividend invest? Click the link below ⬇️,5631.0,289.0,Not Finacial Advice,http://pbs.twimg.com/profile_images/1572774496171446272/rYS6NCUi_normal.jpg,19699.0,1.5810251236999496e+18,Darth Dividend on Youtube 🌋,"🔥 Dividend Stocks 🔥 

$CAG Conagra Brands
$JPM JP Morgan
$GS Goldman Sachs Group Inc
$LOW Lowes
$HD Home Depot
$STX… https://t.co/iD2N2yKEBo"
Fri Oct 14 20:51:49 +0000 2022,,26.0,0.0,,http://pbs.twimg.com/profile_images/1561666740819357696/cfCkT4QZ_normal.jpg,7556.0,1.5810250017253868e+18,skitontop,S$AAPL $GOOG $GLD $QQQ $SPY $VFF $TLRY $KBH $LEN $GE $T $F $GM $TSLA $HTSC $GRNF $MTCH $RIOT $MARA $IRRZF $KOAN… https://t.co/xG3UjngHO7
